kuupäev,valgus,pikkus
2019-04-02 01:35:53,0.66,9
2019-04-02 01:45:53,0.66,9
2019-04-02 01:55:54,0.69,9
2019-04-02 02:05:54,0.73,9
2019-04-02 02:15:54,0.65,9
2019-04-02 02:25:55,0.65,9
2019-04-02 02:35:55,0.74,9
2019-04-02 02:45:56,0.83,9
2019-04-02 02:55:56,0.91,10
2019-04-02 03:05:56,0.86,11
2019-04-02 03:15:57,0.89,10
2019-04-02 03:25:57,0.98,11
2019-04-02 03:35:57,1.07,11
2019-04-02 03:45:58,1.03,11
2019-04-02 03:55:58,1.15,11
2019-04-02 04:05:58,1.36,11
2019-04-02 04:15:59,1.51,11
2019-04-02 04:25:59,1.59,13
2019-04-02 04:35:59,1.91,13
2019-04-02 04:46:00,1.96,13
2019-04-02 04:56:00,2.2,13
2019-04-02 05:06:00,2.56,13
2019-04-02 05:16:01,2.95,13
2019-04-02 05:26:01,2.91,13
2019-04-02 05:36:01,3.02,13
2019-04-02 05:46:02,3.08,12
2019-04-02 05:56:02,3.03,13
2019-04-02 06:06:02,3.08,10
2019-04-02 06:16:03,3.12,11
2019-04-02 06:26:03,3.19,11
2019-04-02 06:36:03,3.1,11
2019-04-02 06:46:04,3.08,11
2019-04-02 06:56:04,3.12,11
2019-04-02 07:06:04,5,10
2019-04-02 07:16:05,5,10
2019-04-02 07:26:05,5,9
2019-04-02 07:36:05,5,9
2019-04-02 07:46:06,5,10
2019-04-02 07:56:06,5,10
2019-04-02 08:06:06,5,10
2019-04-02 08:16:07,5,10
2019-04-02 08:26:07,5,10
2019-04-02 08:36:08,5,9
2019-04-02 08:46:08,5,10
2019-04-02 08:56:08,5,10
2019-04-02 09:07:40,5,10
2019-04-02 09:16:14,5,11
2019-04-02 09:26:14,5,11
2019-04-02 09:36:14,5,10
2019-04-02 09:46:15,5,10
2019-04-02 09:56:15,5,11
2019-04-02 10:06:16,5,9
2019-04-02 10:16:16,5,11
2019-04-02 10:26:16,5,11
2019-04-02 10:36:17,5,12
2019-04-02 10:46:17,5,11
2019-04-02 10:56:17,5,11
2019-04-02 11:06:18,5,-3023
2019-04-02 11:16:18,5,26
2019-04-02 11:26:19,5,12
2019-04-02 11:36:19,5,12
2019-04-02 11:46:20,5,12
2019-04-02 11:56:20,5,11
2019-04-03 12:06:20,5,12
2019-04-03 12:16:21,5,12
2019-04-03 12:26:21,5,12
2019-04-03 12:36:21,5,11
2019-04-03 12:46:22,5,12
2019-04-03 12:56:22,5,-66
2019-04-03 01:06:23,5,12
2019-04-03 01:16:23,5,12
2019-04-03 01:26:24,5,-3032
2019-04-03 01:36:24,5,26
2019-04-03 01:46:24,5,8
2019-04-03 01:56:25,5,-98
2019-04-03 02:06:25,5,-99
2019-04-03 02:16:26,5,-99
2019-04-03 02:26:26,5,-96
2019-04-03 02:36:26,5,-98
2019-04-03 02:46:27,5,-99
2019-04-03 02:56:27,5,-66
2019-04-03 03:06:27,5,-98
2019-04-03 03:16:28,5,-3018
2019-04-03 03:26:28,4.55,26
2019-04-03 03:36:28,3.65,-66
2019-04-03 03:46:29,2.83,-99
2019-04-03 03:56:29,2.25,-98
